<<<<<<< HEAD
"V1","V2","V3","V4","V5","V6","V7"
"Airline","Status","Los Angeles","Phoenix","San Diego","San Francisco","Seattle"
"ALASKA","On Time","497","221","212","503","1841"
"","Delayed","62","12","20","102","305"
"AM WEST","On Time","694","4840","383","320","201"
"","Delayed","117","415","65","129","61"
=======
Airline,Status,"Los Angeles","Phoenix","San Diego","San Francisco","Seattle"
"ALASKA","On Time","497","221","212","503","1841"
NULL,"Delayed","62","12","20","102","305"
"AM WEST","On Time","694","4840","383","320","201"
NULL,"Delayed","117","415","65","129","61"
>>>>>>> e6f2a604bb0004ccaa9f87916120109697b033ac
